"term","scaled_hits","hits1000","collected_at","time_span"
"big data",81.0784,334.4614,"2018-12-11 11:54","2017-12-17 2018-12-02"
"big data analytics",7.7108,31.8083,"2018-12-11 11:54","2017-12-17 2018-12-02"
"big spatial data",0.3798,1.5667,"2018-12-11 11:54","2017-12-17 2018-12-02"
"data science",69.8431,288.114,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geoanalytics",0.421,1.7367,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geographic data science",0.2559,1.0556,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geographic information science",0.198,0.8168,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geographic information systems",0.804,3.3166,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geoinformatics",0.8077,3.3319,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geospatial data science",0.3054,1.2598,"2018-12-11 11:54","2017-12-17 2018-12-02"
"geospatial science",0.2003,0.8263,"2018-12-11 11:54","2017-12-17 2018-12-02"
"gis",242.4148,1000,"2018-12-11 11:54","2017-12-17 2018-12-02"
"giscience",0.4128,1.7029,"2018-12-11 11:54","2017-12-17 2018-12-02"
"location analytics",0.787,3.2465,"2018-12-11 11:54","2017-12-17 2018-12-02"
"spatial analytics",0.1265,0.5218,"2018-12-11 11:54","2017-12-17 2018-12-02"
"spatial data mining",0.4128,1.7029,"2018-12-11 11:54","2017-12-17 2018-12-02"
"spatial data science",0.0929,0.3832,"2018-12-11 11:54","2017-12-17 2018-12-02"
