GOOGLE_NAME	ON_GOOGLE	ISO_A2
Antigua & Barbuda	TRUE	AG
Bosnia & Herzegovina	TRUE	BA
Bouvet Island	TRUE	MISSING
Brunei	TRUE	BN
Cape Verde	TRUE	CV
Caribbean Netherlands	TRUE	BQ
Christmas Island	TRUE	MISSING
Cocos (Keeling) Islands	TRUE	MISSING
Congo - Brazzaville	TRUE	MISSING
Congo - Kinshasa	TRUE	MISSING
Côte d’Ivoire	TRUE	CI
Czechia	TRUE	CZ
Falkland Islands (Islas Malvinas)	TRUE	FK
Faroe Islands	TRUE	FO
French Guiana	TRUE	GF
French Southern Territories	TRUE	MISSING
Gambia	TRUE	GM
Gibraltar	TRUE	GI
Guadeloupe	TRUE	GP
Heard & McDonald Islands	TRUE	HM
Laos	TRUE	LA
Macau	TRUE	MO
Macedonia (FYROM)	TRUE	MK
Martinique	TRUE	MQ
Mayotte	TRUE	YT
Micronesia	TRUE	FM
Myanmar (Burma)	TRUE	MM
North Korea	TRUE	KP
Réunion	TRUE	RE
Russia	TRUE	RU
São Tomé & Príncipe	TRUE	ST
South Georgia & South Sandwich Islands	TRUE	GS
South Korea	TRUE	KR
St. Barthélemy	TRUE	BL
St. Helena	TRUE	SH
St. Kitts & Nevis	TRUE	KN
St. Lucia	TRUE	LC
St. Martin	TRUE	MF
St. Pierre & Miquelon	TRUE	PM
St. Vincent & Grenadines	TRUE	VC
Svalbard & Jan Mayen	TRUE	SJ
Tokelau	TRUE	TK
Trinidad & Tobago	TRUE	TT
Turks & Caicos Islands	TRUE	TC
Tuvalu	TRUE	TV
U.S. Outlying Islands	TRUE	UM
U.S. Virgin Islands	TRUE	VI
Vatican City	TRUE	VA
Wallis & Futuna	TRUE	WF
