GEOUNIT_CODE,QUERY_BASETERM,keyword,GEOUNIT_TYPE,safe_keyword,GT_concept,,,
GM0034,FALSE,Almere,municipality,Almere,%2Fm%2F0vh7g,,,
GM0034,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0358,FALSE,Aalsmeer,municipality,Aalsmeer,%2Fm%2F0w06p,,,
GM0358,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0362,FALSE,Amstelveen,municipality,Amstelveen,%2Fm%2F0w073,,,
GM0362,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0363,FALSE,Amsterdam,municipality,Amsterdam,%2Fm%2F0k3p,,,
GM0370,FALSE,Beemster,municipality,Beemster,%2Fm%2F0w08s,,,
GM0370,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0375,FALSE,Beverwijk,municipality,Beverwijk,%2Fm%2F0w09z,,,
GM0375,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0376,FALSE,Blaricum,municipality,Blaricum,%2Fm%2F0w0bq,,,
GM0376,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0377,FALSE,Bloemendaal,municipality,Bloemendaal,%2Fm%2F0w0c3,,,
GM0377,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0384,FALSE,Diemen,municipality,Diemen,%2Fm%2F0w0f0,,,
GM0384,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0385,FALSE,Edam-Volendam,municipality,Edam-Volendam,%2Fm%2F0w0g6,,,
GM0385,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0392,FALSE,Haarlem,municipality,Haarlem,%2Fm%2F0h095,,,
GM0392,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0393,FALSE,Haarlemmerliede en Spaarnwoude,municipality,Haarlemmerliede en Spaarnwoude,%2Fm%2F0w0hx,,,
GM0393,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0394,FALSE,Haarlemmermeer,municipality,Haarlemmermeer,%2Fm%2F0w0jp,,,
GM0394,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0396,FALSE,Heemskerk,municipality,Heemskerk,%2Fm%2F0w0kv,,,
GM0396,TRUE,Amsterdam,municipality,261,70,84.1,83,100
GM0397,FALSE,Heemstede,municipality,Heemstede,%2Fm%2F0w0l7,,,
GM0397,TRUE,Amsterdam,municipality,261,70,84.1,83,100
